flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label
127.0.0.1-127.0.0.1-50147-5051,127.0.0.1,127.0.0.1,50147,5051,0.1979045867919922,7,1010,7,0,1010,0,35.37057990150252,5103.469385788221,144.28571428571428,44,734,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-50147,127.0.0.1,127.0.0.1,5051,50147,0.19774174690246582,6,486,6,0,486,0,30.34260642472953,2457.751120403092,81.0,44,217,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-50755,127.0.0.1,127.0.0.1,5051,50755,8.682496070861816,6,486,6,0,486,0,0.6910455185964105,55.974687006309246,81.0,44,217,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-51432,127.0.0.1,127.0.0.1,5051,51432,0.18967700004577637,6,486,6,0,486,0,31.632722989882637,2562.2505621804935,81.0,44,217,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52308,127.0.0.1,127.0.0.1,5051,52308,0.0057830810546875,9,665,9,0,665,0,1556.263852242744,114990.60686015831,73.88888888888889,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52309,127.0.0.1,127.0.0.1,5051,52309,0.020009756088256836,9,665,9,0,665,0,449.7805950409284,33233.78841135749,73.88888888888889,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52310,127.0.0.1,127.0.0.1,5051,52310,0.0028662681579589844,9,665,9,0,665,0,3139.971385792713,232008.99683912826,73.88888888888889,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52311,127.0.0.1,127.0.0.1,5051,52311,0.0033283233642578125,9,665,9,0,665,0,2704.0641833810887,199800.29799426935,73.88888888888889,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52312,127.0.0.1,127.0.0.1,5051,52312,0.0045163631439208984,9,665,9,0,665,0,1992.7538404687748,147242.3671013039,73.88888888888889,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52313,127.0.0.1,127.0.0.1,5051,52313,0.0030286312103271484,9,665,9,0,665,0,2971.6394552467923,219571.13752656852,73.88888888888889,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52314,127.0.0.1,127.0.0.1,5051,52314,0.0032978057861328125,9,665,9,0,665,0,2729.0873337189128,201649.23076923078,73.88888888888889,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52315,127.0.0.1,127.0.0.1,5051,52315,0.003574848175048828,9,665,9,0,665,0,2517.5894357743095,186021.88608776845,73.88888888888889,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52316,127.0.0.1,127.0.0.1,5051,52316,0.003235340118408203,9,665,9,0,665,0,2781.778629329403,205542.5320560059,73.88888888888889,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52317,127.0.0.1,127.0.0.1,5051,52317,0.003895282745361328,9,666,9,0,666,0,2310.486962908557,170976.0352552332,74.0,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52318,127.0.0.1,127.0.0.1,5051,52318,0.012685537338256836,9,666,9,0,666,0,709.4693555359257,52500.7323096585,74.0,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52319,127.0.0.1,127.0.0.1,5051,52319,0.00333404541015625,9,666,9,0,666,0,2699.4233409610983,199757.32723112128,74.0,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52320,127.0.0.1,127.0.0.1,5051,52320,0.01915287971496582,8,622,8,0,622,0,417.6917580570874,32475.53418893854,77.75,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52321,127.0.0.1,127.0.0.1,5051,52321,0.004548788070678711,9,666,9,0,666,0,1978.5489805545365,146412.6245610357,74.0,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52322,127.0.0.1,127.0.0.1,5051,52322,0.014597892761230469,8,622,8,0,622,0,548.0243026066505,42608.88952766708,77.75,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52323,127.0.0.1,127.0.0.1,5051,52323,0.004262208938598633,9,666,9,0,666,0,2111.5811377747946,156257.0041953348,74.0,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52324,127.0.0.1,127.0.0.1,5051,52324,0.005883216857910156,9,666,9,0,666,0,1529.7753282541742,113203.37429080889,74.0,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52325,127.0.0.1,127.0.0.1,5051,52325,0.006177186965942383,9,666,9,0,666,0,1456.9738700837547,107816.06638619784,74.0,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52326,127.0.0.1,127.0.0.1,5051,52326,0.004393577575683594,9,666,9,0,666,0,2048.4445409159975,151584.8960277838,74.0,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52327,127.0.0.1,127.0.0.1,5051,52327,0.0031385421752929688,9,666,9,0,666,0,2867.573381950775,212200.43026435733,74.0,44,219,0,0,0,BRUTE_FORCE
127.0.0.1-127.0.0.1-5051-52328,127.0.0.1,127.0.0.1,5051,52328,0.004472494125366211,9,666,9,0,666,0,2012.3000159923238,148910.20118343196,74.0,44,219,0,0,0,BRUTE_FORCE
