timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,frame_length,tcp_length,label
1786171331.6897638,127.0.0.1,127.0.0.1,57010,5051,,56,0,BRUTE_FORCE
1786171331.689846,127.0.0.1,127.0.0.1,5051,57010,,56,0,BRUTE_FORCE
1786171331.6898773,127.0.0.1,127.0.0.1,57010,5051,,44,0,BRUTE_FORCE
1786171331.6901035,127.0.0.1,127.0.0.1,57010,5051,,734,690,BRUTE_FORCE
1786171331.690123,127.0.0.1,127.0.0.1,5051,57010,,44,0,BRUTE_FORCE
1786171331.6926825,127.0.0.1,127.0.0.1,58473,5051,,56,0,BRUTE_FORCE
1786171331.6928408,127.0.0.1,127.0.0.1,5051,58473,,56,0,BRUTE_FORCE
1786171331.6928997,127.0.0.1,127.0.0.1,58473,5051,,44,0,BRUTE_FORCE
1786171331.704296,127.0.0.1,127.0.0.1,5051,57010,,217,173,BRUTE_FORCE
1786171331.7043948,127.0.0.1,127.0.0.1,57010,5051,,44,0,BRUTE_FORCE
1786171331.7046027,127.0.0.1,127.0.0.1,5051,57010,,81,37,BRUTE_FORCE
1786171331.7046635,127.0.0.1,127.0.0.1,57010,5051,,44,0,BRUTE_FORCE
1786171331.7063265,127.0.0.1,127.0.0.1,57010,5051,,44,0,BRUTE_FORCE
1786171331.7063987,127.0.0.1,127.0.0.1,5051,57010,,44,0,BRUTE_FORCE
1786171331.7094228,127.0.0.1,127.0.0.1,5051,57010,,44,0,BRUTE_FORCE
1786171331.7095191,127.0.0.1,127.0.0.1,57010,5051,,44,0,BRUTE_FORCE
1786171332.033276,127.0.0.1,127.0.0.1,60185,5051,,56,0,BRUTE_FORCE
1786171332.0334947,127.0.0.1,127.0.0.1,5051,60185,,56,0,BRUTE_FORCE
1786171332.0335834,127.0.0.1,127.0.0.1,60185,5051,,44,0,BRUTE_FORCE
1786171332.034326,127.0.0.1,127.0.0.1,58473,5051,,734,690,BRUTE_FORCE
1786171332.0343668,127.0.0.1,127.0.0.1,5051,58473,,44,0,BRUTE_FORCE
1786171332.0455327,127.0.0.1,127.0.0.1,5051,58473,,217,173,BRUTE_FORCE
1786171332.0456192,127.0.0.1,127.0.0.1,58473,5051,,44,0,BRUTE_FORCE
1786171332.0456932,127.0.0.1,127.0.0.1,5051,58473,,81,37,BRUTE_FORCE
1786171332.045725,127.0.0.1,127.0.0.1,58473,5051,,44,0,BRUTE_FORCE
1786171332.0473387,127.0.0.1,127.0.0.1,58473,5051,,44,0,BRUTE_FORCE
1786171332.0474021,127.0.0.1,127.0.0.1,5051,58473,,44,0,BRUTE_FORCE
1786171332.0624387,127.0.0.1,127.0.0.1,5051,58473,,44,0,BRUTE_FORCE
1786171332.0625632,127.0.0.1,127.0.0.1,58473,5051,,44,0,BRUTE_FORCE
1786171332.254372,127.0.0.1,127.0.0.1,64225,5051,,56,0,BRUTE_FORCE
1786171332.254612,127.0.0.1,127.0.0.1,5051,64225,,56,0,BRUTE_FORCE
1786171332.2547407,127.0.0.1,127.0.0.1,64225,5051,,44,0,BRUTE_FORCE
1786171332.255505,127.0.0.1,127.0.0.1,60185,5051,,734,690,BRUTE_FORCE
1786171332.2555883,127.0.0.1,127.0.0.1,5051,60185,,44,0,BRUTE_FORCE
1786171332.2606816,127.0.0.1,127.0.0.1,5051,60185,,217,173,BRUTE_FORCE
1786171332.2607744,127.0.0.1,127.0.0.1,60185,5051,,44,0,BRUTE_FORCE
1786171332.260852,127.0.0.1,127.0.0.1,5051,60185,,81,37,BRUTE_FORCE
1786171332.260887,127.0.0.1,127.0.0.1,60185,5051,,44,0,BRUTE_FORCE
1786171332.2625785,127.0.0.1,127.0.0.1,60185,5051,,44,0,BRUTE_FORCE
1786171332.2626588,127.0.0.1,127.0.0.1,5051,60185,,44,0,BRUTE_FORCE
1786171332.2701151,127.0.0.1,127.0.0.1,5051,60185,,44,0,BRUTE_FORCE
1786171332.2701857,127.0.0.1,127.0.0.1,60185,5051,,44,0,BRUTE_FORCE
1786171332.5573852,127.0.0.1,127.0.0.1,52948,5051,,56,0,BRUTE_FORCE
1786171332.557475,127.0.0.1,127.0.0.1,5051,52948,,56,0,BRUTE_FORCE
1786171332.5575156,127.0.0.1,127.0.0.1,52948,5051,,44,0,BRUTE_FORCE
1786171332.5579574,127.0.0.1,127.0.0.1,64225,5051,,734,690,BRUTE_FORCE
1786171332.5579882,127.0.0.1,127.0.0.1,5051,64225,,44,0,BRUTE_FORCE
1786171332.5616689,127.0.0.1,127.0.0.1,5051,64225,,217,173,BRUTE_FORCE
1786171332.5617373,127.0.0.1,127.0.0.1,64225,5051,,44,0,BRUTE_FORCE
1786171332.5617943,127.0.0.1,127.0.0.1,5051,64225,,81,37,BRUTE_FORCE
1786171332.5618243,127.0.0.1,127.0.0.1,64225,5051,,44,0,BRUTE_FORCE
1786171332.5624523,127.0.0.1,127.0.0.1,64225,5051,,44,0,BRUTE_FORCE
1786171332.5624778,127.0.0.1,127.0.0.1,5051,64225,,44,0,BRUTE_FORCE
1786171332.5648825,127.0.0.1,127.0.0.1,5051,64225,,44,0,BRUTE_FORCE
1786171332.5649583,127.0.0.1,127.0.0.1,64225,5051,,44,0,BRUTE_FORCE
1786171332.7885213,127.0.0.1,127.0.0.1,52948,5051,,734,690,BRUTE_FORCE
1786171332.7886052,127.0.0.1,127.0.0.1,5051,52948,,44,0,BRUTE_FORCE
1786171332.7920604,127.0.0.1,127.0.0.1,50755,5051,,56,0,BRUTE_FORCE
1786171332.7922947,127.0.0.1,127.0.0.1,5051,50755,,56,0,BRUTE_FORCE
1786171332.7923923,127.0.0.1,127.0.0.1,50755,5051,,44,0,BRUTE_FORCE
1786171332.7940547,127.0.0.1,127.0.0.1,5051,52948,,217,173,BRUTE_FORCE
1786171332.7941046,127.0.0.1,127.0.0.1,52948,5051,,44,0,BRUTE_FORCE
1786171332.794152,127.0.0.1,127.0.0.1,5051,52948,,81,37,BRUTE_FORCE
1786171332.794171,127.0.0.1,127.0.0.1,52948,5051,,44,0,BRUTE_FORCE
1786171332.7949538,127.0.0.1,127.0.0.1,52948,5051,,44,0,BRUTE_FORCE
1786171332.7950168,127.0.0.1,127.0.0.1,5051,52948,,44,0,BRUTE_FORCE
1786171332.8016846,127.0.0.1,127.0.0.1,5051,52948,,44,0,BRUTE_FORCE
1786171332.8017457,127.0.0.1,127.0.0.1,52948,5051,,44,0,BRUTE_FORCE
1786171341.4693606,127.0.0.1,127.0.0.1,50755,5051,,734,690,BRUTE_FORCE
1786171341.4694037,127.0.0.1,127.0.0.1,5051,50755,,44,0,BRUTE_FORCE
1786171341.470574,127.0.0.1,127.0.0.1,5051,50755,,217,173,BRUTE_FORCE
1786171341.4706097,127.0.0.1,127.0.0.1,50755,5051,,44,0,BRUTE_FORCE
1786171341.4706397,127.0.0.1,127.0.0.1,5051,50755,,81,37,BRUTE_FORCE
1786171341.4706535,127.0.0.1,127.0.0.1,50755,5051,,44,0,BRUTE_FORCE
1786171341.4708278,127.0.0.1,127.0.0.1,62295,5051,,56,0,BRUTE_FORCE
1786171341.470904,127.0.0.1,127.0.0.1,5051,62295,,56,0,BRUTE_FORCE
1786171341.4709322,127.0.0.1,127.0.0.1,62295,5051,,44,0,BRUTE_FORCE
1786171341.471728,127.0.0.1,127.0.0.1,50755,5051,,44,0,BRUTE_FORCE
1786171341.4717455,127.0.0.1,127.0.0.1,5051,50755,,44,0,BRUTE_FORCE
1786171341.4747908,127.0.0.1,127.0.0.1,5051,50755,,44,0,BRUTE_FORCE
1786171341.4748695,127.0.0.1,127.0.0.1,50755,5051,,44,0,BRUTE_FORCE
1786171341.657814,127.0.0.1,127.0.0.1,60504,5051,,56,0,BRUTE_FORCE
1786171341.6579056,127.0.0.1,127.0.0.1,5051,60504,,56,0,BRUTE_FORCE
1786171341.6579452,127.0.0.1,127.0.0.1,60504,5051,,44,0,BRUTE_FORCE
1786171341.6583323,127.0.0.1,127.0.0.1,62295,5051,,734,690,BRUTE_FORCE
1786171341.6583655,127.0.0.1,127.0.0.1,5051,62295,,44,0,BRUTE_FORCE
1786171341.6619055,127.0.0.1,127.0.0.1,5051,62295,,217,173,BRUTE_FORCE
1786171341.6619692,127.0.0.1,127.0.0.1,62295,5051,,44,0,BRUTE_FORCE
1786171341.6620317,127.0.0.1,127.0.0.1,5051,62295,,81,37,BRUTE_FORCE
1786171341.6620543,127.0.0.1,127.0.0.1,62295,5051,,44,0,BRUTE_FORCE
1786171341.6629598,127.0.0.1,127.0.0.1,62295,5051,,44,0,BRUTE_FORCE
1786171341.6629968,127.0.0.1,127.0.0.1,5051,62295,,44,0,BRUTE_FORCE
1786171341.6659567,127.0.0.1,127.0.0.1,5051,62295,,44,0,BRUTE_FORCE
1786171341.6660829,127.0.0.1,127.0.0.1,62295,5051,,44,0,BRUTE_FORCE
1786171341.8363893,127.0.0.1,127.0.0.1,55337,5051,,56,0,BRUTE_FORCE
1786171341.8367343,127.0.0.1,127.0.0.1,5051,55337,,56,0,BRUTE_FORCE
1786171341.836843,127.0.0.1,127.0.0.1,55337,5051,,44,0,BRUTE_FORCE
1786171341.8381565,127.0.0.1,127.0.0.1,60504,5051,,734,690,BRUTE_FORCE
1786171341.8382554,127.0.0.1,127.0.0.1,5051,60504,,44,0,BRUTE_FORCE
1786171341.8443677,127.0.0.1,127.0.0.1,5051,60504,,217,173,BRUTE_FORCE
1786171341.8444755,127.0.0.1,127.0.0.1,60504,5051,,44,0,BRUTE_FORCE
1786171341.8445604,127.0.0.1,127.0.0.1,5051,60504,,81,37,BRUTE_FORCE
1786171341.8445969,127.0.0.1,127.0.0.1,60504,5051,,44,0,BRUTE_FORCE
1786171341.8463883,127.0.0.1,127.0.0.1,60504,5051,,44,0,BRUTE_FORCE
1786171341.8464756,127.0.0.1,127.0.0.1,5051,60504,,44,0,BRUTE_FORCE
1786171341.853259,127.0.0.1,127.0.0.1,5051,60504,,44,0,BRUTE_FORCE
1786171341.85333,127.0.0.1,127.0.0.1,60504,5051,,44,0,BRUTE_FORCE
1786171341.9556472,127.0.0.1,127.0.0.1,55337,5051,,734,690,BRUTE_FORCE
1786171341.9557154,127.0.0.1,127.0.0.1,5051,55337,,44,0,BRUTE_FORCE
1786171341.9593356,127.0.0.1,127.0.0.1,62579,5051,,56,0,BRUTE_FORCE
1786171341.9595773,127.0.0.1,127.0.0.1,5051,62579,,56,0,BRUTE_FORCE
1786171341.9596815,127.0.0.1,127.0.0.1,62579,5051,,44,0,BRUTE_FORCE
1786171341.961802,127.0.0.1,127.0.0.1,5051,55337,,217,173,BRUTE_FORCE
