flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label,source_dataset,avg_udp_length,min_udp_length,max_udp_length,total_requests,request_rate,avg_uri_length,max_uri_length,avg_query_length,avg_special_char_count,total_angle_bracket_count,total_script_keyword_count,total_event_handler_count,total_encoded_char_count,avg_user_agent_length,avg_frame_length,max_frame_length,icmp_request_count,icmp_reply_count,icmp_other_count,request_reply_ratio,avg_ttl
127.0.0.1_127.0.0.1_62506_5001,127.0.0.1,127.0.0.1,62506.0,5001.0,0.0154609680175781,4.0,188,4.0,0.0,188.0,0.0,258.71601283000246,12159.652603010116,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62507_5002,127.0.0.1,127.0.0.1,62507.0,5002.0,0.0005726814270019,4.0,188,4.0,0.0,188.0,0.0,6984.686094920899,328280.24646128225,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62508_5003,127.0.0.1,127.0.0.1,62508.0,5003.0,0.0104231834411621,4.0,188,4.0,0.0,188.0,0.0,383.7599158241457,18036.716043734847,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62509_5004,127.0.0.1,127.0.0.1,62509.0,5004.0,0.0037939548492431,4.0,188,4.0,0.0,188.0,0.0,1054.3088041224155,49552.51379375353,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62511_5005,127.0.0.1,127.0.0.1,62511.0,5005.0,0.1204547882080078,4.0,188,4.0,0.0,188.0,0.0,33.207480246385764,1560.7515715801308,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62512_5006,127.0.0.1,127.0.0.1,62512.0,5006.0,0.0049967765808105,4.0,188,4.0,0.0,188.0,0.0,800.5160797786049,37624.25574959443,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62513_5007,127.0.0.1,127.0.0.1,62513.0,5007.0,0.0140559673309326,4.0,188,4.0,0.0,188.0,0.0,284.57664320244254,13375.1022305148,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62514_5008,127.0.0.1,127.0.0.1,62514.0,5008.0,0.038947582244873,4.0,188,4.0,0.0,188.0,0.0,102.70213886066186,4827.000526451107,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62515_5009,127.0.0.1,127.0.0.1,62515.0,5009.0,0.0007135868072509,4.0,188,4.0,0.0,188.0,0.0,5605.484797861677,263457.78549949883,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62516_5010,127.0.0.1,127.0.0.1,62516.0,5010.0,0.025280475616455,4.0,188,4.0,0.0,188.0,0.0,158.2248712677066,7436.56894958221,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
