flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,avg_udp_length,min_udp_length,max_udp_length,label
127.0.0.1:50068-127.0.0.1:5354-0,127.0.0.1,127.0.0.1,50068,5354,0.022645235061645508,20,1561,20,0,1561,0,883.1880060222571,68932.82387003716,78.05,44,126,54.05,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-1,127.0.0.1,127.0.0.1,50068,5354,0.02287769317626953,20,1570,20,0,1570,0,874.2140147567635,68625.80015840594,78.5,44,123,54.5,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-10,127.0.0.1,127.0.0.1,50068,5354,0.02262425422668457,20,1547,20,0,1547,0,884.007039507656,68377.94450591718,77.35,44,123,53.35,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-100,127.0.0.1,127.0.0.1,50068,5354,0.02257704734802246,20,1533,20,0,1533,0,885.8554305929563,67900.8187549501,76.65,44,128,52.65,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-101,127.0.0.1,127.0.0.1,50068,5354,0.02294445037841797,20,1522,20,0,1522,0,871.6704767446694,66334.12328026934,76.1,44,123,52.1,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-102,127.0.0.1,127.0.0.1,50068,5354,0.023935794830322266,20,1603,20,0,1603,0,835.5686594816424,66970.82805745363,80.15,44,127,56.15,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-103,127.0.0.1,127.0.0.1,50068,5354,0.024718046188354492,20,1535,20,0,1535,0,809.1254400771642,62100.377525922355,76.75,44,122,52.75,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-104,127.0.0.1,127.0.0.1,50068,5354,0.024689197540283203,20,1559,20,0,1559,0,810.0708808930606,63145.025165614075,77.95,44,124,53.95,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-105,127.0.0.1,127.0.0.1,50068,5354,0.024692296981811523,20,1601,20,0,1601,0,809.9691986829781,64838.0343545724,80.05,44,130,56.05,20,106,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-106,127.0.0.1,127.0.0.1,50068,5354,0.024473190307617188,20,1535,20,0,1535,0,817.2207933910062,62721.69589275972,76.75,44,124,52.75,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-107,127.0.0.1,127.0.0.1,50068,5354,0.02261185646057129,20,1563,20,0,1563,0,884.4917282609841,69123.02856359592,78.15,44,123,54.15,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-108,127.0.0.1,127.0.0.1,50068,5354,0.021294832229614258,20,1558,20,0,1558,0,939.1950020712742,73163.29066135226,77.9,44,121,53.9,20,97,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-109,127.0.0.1,127.0.0.1,50068,5354,0.022816181182861328,20,1574,20,0,1574,0,876.5708792242262,68986.1281949466,78.7,44,124,54.7,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-11,127.0.0.1,127.0.0.1,50068,5354,0.023400068283081055,20,1567,20,0,1567,0,854.6983606223318,66965.61655475969,78.35,44,124,54.35,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-110,127.0.0.1,127.0.0.1,50068,5354,0.022743940353393555,20,1571,20,0,1571,0,879.3551024686828,69073.34329891503,78.55,44,121,54.55,20,97,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-111,127.0.0.1,127.0.0.1,50068,5354,0.023114681243896484,20,1578,20,0,1578,0,865.2509541000516,68268.30027849408,78.9,44,125,54.9,20,101,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-112,127.0.0.1,127.0.0.1,50068,5354,0.02279210090637207,20,1563,20,0,1563,0,877.4969925834492,68576.38997039656,78.15,44,127,54.15,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-113,127.0.0.1,127.0.0.1,50068,5354,0.022614717483520508,20,1593,20,0,1593,0,884.379829841966,70440.85344691259,79.65,44,123,55.65,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-114,127.0.0.1,127.0.0.1,50068,5354,0.02324509620666504,20,1559,20,0,1559,0,860.3965250212827,67067.90912540899,77.95,44,120,53.95,20,96,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-115,127.0.0.1,127.0.0.1,50068,5354,0.02386164665222168,20,1560,20,0,1560,0,838.1651229479533,65376.87958994035,78.0,44,129,54.0,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-116,127.0.0.1,127.0.0.1,50068,5354,0.0228426456451416,20,1562,20,0,1562,0,875.5553236126043,68380.8707741444,78.1,44,124,54.1,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-117,127.0.0.1,127.0.0.1,50068,5354,0.022974014282226562,20,1554,20,0,1554,0,870.5487754254877,67641.6398505604,77.7,44,125,53.7,20,101,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-118,127.0.0.1,127.0.0.1,50068,5354,0.022919416427612305,20,1533,20,0,1533,0,872.6225671219481,66886.51976989732,76.65,44,120,52.65,20,96,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-119,127.0.0.1,127.0.0.1,50068,5354,0.02292776107788086,20,1582,20,0,1582,0,872.3049726514569,68999.32333673023,79.1,44,127,55.1,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-12,127.0.0.1,127.0.0.1,50068,5354,0.022954463958740234,20,1566,20,0,1566,0,871.2902220652693,68222.02438771058,78.3,44,128,54.3,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-120,127.0.0.1,127.0.0.1,50068,5354,0.02310466766357422,20,1556,20,0,1556,0,865.6259545135592,67345.6992611549,77.8,44,122,53.8,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-121,127.0.0.1,127.0.0.1,50068,5354,0.02321910858154297,20,1583,20,0,1583,0,861.3595104119604,68176.60524910667,79.15,44,120,55.15,20,96,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-122,127.0.0.1,127.0.0.1,50068,5354,0.022724390029907227,20,1604,20,0,1604,0,880.1116322012737,70584.95290254215,80.2,44,124,56.2,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-123,127.0.0.1,127.0.0.1,50068,5354,0.022573232650756836,20,1553,20,0,1553,0,886.0051331340635,68798.29858786003,77.65,44,124,53.65,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-124,127.0.0.1,127.0.0.1,50068,5354,0.023304224014282227,20,1560,20,0,1560,0,858.2135147577882,66940.65415110748,78.0,44,126,54.0,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-125,127.0.0.1,127.0.0.1,50068,5354,0.022239208221435547,20,1578,20,0,1578,0,899.3125924655332,70955.76354553057,78.9,44,126,54.9,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-126,127.0.0.1,127.0.0.1,50068,5354,0.02193927764892578,20,1579,20,0,1579,0,911.6070419474028,71971.37596174744,78.95,44,120,54.95,20,96,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-127,127.0.0.1,127.0.0.1,50068,5354,0.023254871368408203,20,1533,20,0,1533,0,860.0348582091083,65921.67188172815,76.65,44,128,52.65,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-128,127.0.0.1,127.0.0.1,50068,5354,0.02312946319580078,20,1600,20,0,1600,0,864.6979755081845,69175.83804065477,80.0,44,130,56.0,20,106,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-129,127.0.0.1,127.0.0.1,50068,5354,0.02264714241027832,20,1602,20,0,1602,0,883.1136236827422,70737.40125698765,80.1,44,124,56.1,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-13,127.0.0.1,127.0.0.1,50068,5354,0.0230867862701416,20,1556,20,0,1556,0,866.2964072165481,67397.86048144744,77.8,44,125,53.8,20,101,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-130,127.0.0.1,127.0.0.1,50068,5354,0.022591352462768555,20,1558,20,0,1558,0,885.2944963326473,68964.44126431322,77.9,44,122,53.9,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-131,127.0.0.1,127.0.0.1,50068,5354,0.022948741912841797,20,1563,20,0,1563,0,871.5074698194361,68108.30876638893,78.15,44,121,54.15,20,97,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-132,127.0.0.1,127.0.0.1,50068,5354,0.02277088165283203,20,1572,20,0,1572,0,878.3146961511078,69035.53511747708,78.6,44,129,54.6,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-133,127.0.0.1,127.0.0.1,50068,5354,0.023010730743408203,20,1602,20,0,1602,0,869.1597073999627,69619.69256273701,80.1,44,122,56.1,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-134,127.0.0.1,127.0.0.1,50068,5354,0.022925138473510742,20,1567,20,0,1567,0,872.4047631428423,68352.9131922417,78.35,44,123,54.35,20,99,DNS_TUNNELING_SIM
