timestamp,src_ip,dst_ip,src_port,dst_port,frame_length,udp_length,label
1786178345.89823,127.0.0.1,127.0.0.1,50068,5354,120,96,DNS_TUNNELING_SIM
1786178345.8985562,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9007003,127.0.0.1,127.0.0.1,50068,5354,106,82,DNS_TUNNELING_SIM
1786178345.900817,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9031863,127.0.0.1,127.0.0.1,50068,5354,112,88,DNS_TUNNELING_SIM
1786178345.9032984,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.905744,127.0.0.1,127.0.0.1,50068,5354,95,71,DNS_TUNNELING_SIM
1786178345.9058545,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9082017,127.0.0.1,127.0.0.1,50068,5354,105,81,DNS_TUNNELING_SIM
1786178345.9083135,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9107468,127.0.0.1,127.0.0.1,50068,5354,104,80,DNS_TUNNELING_SIM
1786178345.9108672,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9132583,127.0.0.1,127.0.0.1,50068,5354,116,92,DNS_TUNNELING_SIM
1786178345.9133656,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.915749,127.0.0.1,127.0.0.1,50068,5354,112,88,DNS_TUNNELING_SIM
1786178345.9158397,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.918267,127.0.0.1,127.0.0.1,50068,5354,126,102,DNS_TUNNELING_SIM
1786178345.918368,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9207847,127.0.0.1,127.0.0.1,50068,5354,125,101,DNS_TUNNELING_SIM
1786178345.9208753,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9233155,127.0.0.1,127.0.0.1,50068,5354,112,88,DNS_TUNNELING_SIM
1786178345.9234023,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.925846,127.0.0.1,127.0.0.1,50068,5354,120,96,DNS_TUNNELING_SIM
1786178345.925943,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9283214,127.0.0.1,127.0.0.1,50068,5354,123,99,DNS_TUNNELING_SIM
1786178345.928436,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9309924,127.0.0.1,127.0.0.1,50068,5354,111,87,DNS_TUNNELING_SIM
1786178345.93108,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.933581,127.0.0.1,127.0.0.1,50068,5354,106,82,DNS_TUNNELING_SIM
1786178345.9336631,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.936101,127.0.0.1,127.0.0.1,50068,5354,120,96,DNS_TUNNELING_SIM
1786178345.9361837,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.938609,127.0.0.1,127.0.0.1,50068,5354,109,85,DNS_TUNNELING_SIM
1786178345.9386816,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.941115,127.0.0.1,127.0.0.1,50068,5354,116,92,DNS_TUNNELING_SIM
1786178345.9411795,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9435935,127.0.0.1,127.0.0.1,50068,5354,110,86,DNS_TUNNELING_SIM
1786178345.943658,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9461012,127.0.0.1,127.0.0.1,50068,5354,103,79,DNS_TUNNELING_SIM
1786178345.9461932,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9485836,127.0.0.1,127.0.0.1,50068,5354,113,89,DNS_TUNNELING_SIM
1786178345.9486568,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9510849,127.0.0.1,127.0.0.1,50068,5354,102,78,DNS_TUNNELING_SIM
1786178345.951149,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9536183,127.0.0.1,127.0.0.1,50068,5354,117,93,DNS_TUNNELING_SIM
1786178345.9536877,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9560902,127.0.0.1,127.0.0.1,50068,5354,106,82,DNS_TUNNELING_SIM
1786178345.9561567,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9586,127.0.0.1,127.0.0.1,50068,5354,126,102,DNS_TUNNELING_SIM
1786178345.9586718,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9611034,127.0.0.1,127.0.0.1,50068,5354,105,81,DNS_TUNNELING_SIM
1786178345.9611678,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9636152,127.0.0.1,127.0.0.1,50068,5354,121,97,DNS_TUNNELING_SIM
1786178345.9636776,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9661489,127.0.0.1,127.0.0.1,50068,5354,110,86,DNS_TUNNELING_SIM
1786178345.9662187,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.968639,127.0.0.1,127.0.0.1,50068,5354,99,75,DNS_TUNNELING_SIM
1786178345.9687011,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.971148,127.0.0.1,127.0.0.1,50068,5354,103,79,DNS_TUNNELING_SIM
1786178345.9712098,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.973668,127.0.0.1,127.0.0.1,50068,5354,114,90,DNS_TUNNELING_SIM
1786178345.9737575,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9761758,127.0.0.1,127.0.0.1,50068,5354,113,89,DNS_TUNNELING_SIM
1786178345.9762373,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.978681,127.0.0.1,127.0.0.1,50068,5354,97,73,DNS_TUNNELING_SIM
1786178345.9787383,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.981218,127.0.0.1,127.0.0.1,50068,5354,122,98,DNS_TUNNELING_SIM
1786178345.981271,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.98377,127.0.0.1,127.0.0.1,50068,5354,113,89,DNS_TUNNELING_SIM
1786178345.983896,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9863768,127.0.0.1,127.0.0.1,50068,5354,112,88,DNS_TUNNELING_SIM
1786178345.9864457,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9888334,127.0.0.1,127.0.0.1,50068,5354,120,96,DNS_TUNNELING_SIM
1786178345.9888813,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9913871,127.0.0.1,127.0.0.1,50068,5354,128,104,DNS_TUNNELING_SIM
1786178345.9914246,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9939504,127.0.0.1,127.0.0.1,50068,5354,115,91,DNS_TUNNELING_SIM
1786178345.9939947,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.9964976,127.0.0.1,127.0.0.1,50068,5354,105,81,DNS_TUNNELING_SIM
1786178345.9965384,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178345.999023,127.0.0.1,127.0.0.1,50068,5354,120,96,DNS_TUNNELING_SIM
1786178345.9990835,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0016181,127.0.0.1,127.0.0.1,50068,5354,118,94,DNS_TUNNELING_SIM
1786178346.0017006,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.004033,127.0.0.1,127.0.0.1,50068,5354,97,73,DNS_TUNNELING_SIM
1786178346.004087,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.006529,127.0.0.1,127.0.0.1,50068,5354,125,101,DNS_TUNNELING_SIM
1786178346.006576,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.009029,127.0.0.1,127.0.0.1,50068,5354,118,94,DNS_TUNNELING_SIM
1786178346.0090764,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.011531,127.0.0.1,127.0.0.1,50068,5354,127,103,DNS_TUNNELING_SIM
1786178346.0115707,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0140424,127.0.0.1,127.0.0.1,50068,5354,123,99,DNS_TUNNELING_SIM
1786178346.0140803,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0165572,127.0.0.1,127.0.0.1,50068,5354,105,81,DNS_TUNNELING_SIM
1786178346.0166016,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0190673,127.0.0.1,127.0.0.1,50068,5354,121,97,DNS_TUNNELING_SIM
1786178346.01912,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0216944,127.0.0.1,127.0.0.1,50068,5354,108,84,DNS_TUNNELING_SIM
1786178346.0217519,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0242062,127.0.0.1,127.0.0.1,50068,5354,121,97,DNS_TUNNELING_SIM
1786178346.024231,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0267644,127.0.0.1,127.0.0.1,50068,5354,124,100,DNS_TUNNELING_SIM
1786178346.0268316,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0292764,127.0.0.1,127.0.0.1,50068,5354,103,79,DNS_TUNNELING_SIM
1786178346.0293264,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.031832,127.0.0.1,127.0.0.1,50068,5354,118,94,DNS_TUNNELING_SIM
1786178346.0318594,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0340452,127.0.0.1,127.0.0.1,50068,5354,113,89,DNS_TUNNELING_SIM
1786178346.0340755,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0367792,127.0.0.1,127.0.0.1,50068,5354,106,82,DNS_TUNNELING_SIM
1786178346.03698,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0391524,127.0.0.1,127.0.0.1,50068,5354,111,87,DNS_TUNNELING_SIM
1786178346.0392094,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.041712,127.0.0.1,127.0.0.1,50068,5354,112,88,DNS_TUNNELING_SIM
1786178346.04174,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.044263,127.0.0.1,127.0.0.1,50068,5354,104,80,DNS_TUNNELING_SIM
1786178346.0442944,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0468235,127.0.0.1,127.0.0.1,50068,5354,105,81,DNS_TUNNELING_SIM
1786178346.0468671,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0494616,127.0.0.1,127.0.0.1,50068,5354,110,86,DNS_TUNNELING_SIM
1786178346.0495274,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0519288,127.0.0.1,127.0.0.1,50068,5354,119,95,DNS_TUNNELING_SIM
1786178346.0520136,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0545273,127.0.0.1,127.0.0.1,50068,5354,121,97,DNS_TUNNELING_SIM
1786178346.05459,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.057078,127.0.0.1,127.0.0.1,50068,5354,111,87,DNS_TUNNELING_SIM
1786178346.0571487,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.059656,127.0.0.1,127.0.0.1,50068,5354,105,81,DNS_TUNNELING_SIM
1786178346.0597432,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0622015,127.0.0.1,127.0.0.1,50068,5354,127,103,DNS_TUNNELING_SIM
1786178346.062305,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0651667,127.0.0.1,127.0.0.1,50068,5354,107,83,DNS_TUNNELING_SIM
1786178346.0652788,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0677338,127.0.0.1,127.0.0.1,50068,5354,107,83,DNS_TUNNELING_SIM
1786178346.0678272,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.070377,127.0.0.1,127.0.0.1,50068,5354,110,86,DNS_TUNNELING_SIM
1786178346.0704637,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0731428,127.0.0.1,127.0.0.1,50068,5354,111,87,DNS_TUNNELING_SIM
1786178346.0732248,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0759487,127.0.0.1,127.0.0.1,50068,5354,104,80,DNS_TUNNELING_SIM
1786178346.076028,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.078348,127.0.0.1,127.0.0.1,50068,5354,109,85,DNS_TUNNELING_SIM
1786178346.0784254,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0808308,127.0.0.1,127.0.0.1,50068,5354,124,100,DNS_TUNNELING_SIM
1786178346.081028,127.0.0.1,127.0.0.1,5354,50068,44,20,DNS_TUNNELING_SIM
1786178346.0834365,127.0.0.1,127.0.0.1,50068,5354,103,79,DNS_TUNNELING_SIM
