flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label
127.0.0.1-127.0.0.1-49682-5052,127.0.0.1,127.0.0.1,49682,5052,0.007978439331054688,7,459,7,0,459,0,877.364570882142,57530.048290700455,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49683-5052,127.0.0.1,127.0.0.1,49683,5052,0.008033275604248047,7,459,7,0,459,0,871.3755564788984,57137.340060544906,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49684-5052,127.0.0.1,127.0.0.1,49684,5052,0.008348703384399414,7,459,7,0,459,0,838.4535511323072,54978.597138532714,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49689-5052,127.0.0.1,127.0.0.1,49689,5052,0.008211612701416016,7,459,7,0,459,0,852.4513094477672,55896.450148075026,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49690-5052,127.0.0.1,127.0.0.1,49690,5052,0.0076830387115478516,7,459,7,0,459,0,911.0978432893716,59741.98715283165,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49691-5052,127.0.0.1,127.0.0.1,49691,5052,0.008286237716674805,7,459,7,0,459,0,844.7742195367573,55393.052395338804,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49692-5052,127.0.0.1,127.0.0.1,49692,5052,0.012237071990966797,7,459,7,0,459,0,572.0322643494525,37508.97276234267,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49693-5052,127.0.0.1,127.0.0.1,49693,5052,0.009128570556640625,7,459,7,0,459,0,766.8232344337652,50281.694943585455,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49694-5052,127.0.0.1,127.0.0.1,49694,5052,0.012096166610717773,7,459,7,0,459,0,578.6957327288853,37945.90590322263,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49695-5052,127.0.0.1,127.0.0.1,49695,5052,0.007997274398803711,7,459,7,0,459,0,875.2982142324777,57394.5543332439,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49696-5052,127.0.0.1,127.0.0.1,49696,5052,0.00824594497680664,7,459,7,0,459,0,848.9020991152489,55663.72335627132,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49697-5052,127.0.0.1,127.0.0.1,49697,5052,0.007585287094116211,7,459,7,0,459,0,922.8391639163916,60511.88231966054,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49698-5052,127.0.0.1,127.0.0.1,49698,5052,0.0076751708984375,7,459,7,0,459,0,912.0318091451293,59803.228628230616,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
127.0.0.1-127.0.0.1-49699-5052,127.0.0.1,127.0.0.1,49699,5052,0.007895708084106445,7,459,7,0,459,0,886.5575988163179,58132.84826524142,65.57142857142857,44,183,0,0,0,HTTP_FLOOD
