flow_id,src_ip,dst_ip,flow_duration,total_packets,total_bytes,icmp_request_count,icmp_reply_count,icmp_other_count,request_reply_ratio,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,avg_ttl,label
ICMP_0,127.0.0.1,127.0.0.1,0.00027561187744140625,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_1,127.0.0.1,127.0.0.1,9.059906005859375e-05,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_2,127.0.0.1,127.0.0.1,0.00011563301086425781,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_3,127.0.0.1,127.0.0.1,0.0001404285430908203,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_5,127.0.0.1,127.0.0.1,0.0002827644348144531,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_8,127.0.0.1,127.0.0.1,0.0002646446228027344,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_10,127.0.0.1,127.0.0.1,0.00023221969604492188,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_13,127.0.0.1,127.0.0.1,0.00022840499877929688,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_15,127.0.0.1,127.0.0.1,0.00023365020751953125,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_17,127.0.0.1,127.0.0.1,0.00013256072998046875,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_20,127.0.0.1,127.0.0.1,0.00025534629821777344,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_23,127.0.0.1,127.0.0.1,0.00024008750915527344,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_25,127.0.0.1,127.0.0.1,0.00024700164794921875,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_28,127.0.0.1,127.0.0.1,0.0002200603485107422,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_30,127.0.0.1,127.0.0.1,0.0002124309539794922,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_31,127.0.0.1,127.0.0.1,0.00012350082397460938,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_32,127.0.0.1,127.0.0.1,0.0001983642578125,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_33,127.0.0.1,127.0.0.1,0.0001957416534423828,2,128,1,1,0,1.0,2.0,128.0,64.0,64,64,128.0,ICMP_TRAFFIC
