flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label
10.116.63.54_10.116.63.69_5000_37402,10.116.63.54,10.116.63.69,5000,37402,4.9019834995269775,5,567,5,0,567,0,1.019995273440329,115.66746400813332,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38380,10.116.63.54,10.116.63.69,5000,38380,0.8526663780212402,5,615,5,0,615,0,5.863958200865577,721.266858706466,123.0,66,240,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38396,10.116.63.54,10.116.63.69,5000,38396,1.6249732971191406,5,615,5,0,615,0,3.0769736394218468,378.46775764888713,123.0,66,240,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38400,10.116.63.54,10.116.63.69,5000,38400,2.075333833694458,5,615,5,0,615,0,2.409250944990919,296.33786623388306,123.0,66,240,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38416,10.116.63.54,10.116.63.69,5000,38416,1.209723949432373,5,615,5,0,615,0,4.133174351343627,508.3804452152662,123.0,66,240,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38430,10.116.63.54,10.116.63.69,5000,38430,3.427141666412353,5,615,5,0,615,0,1.4589417324070433,179.44983308606632,123.0,66,240,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38510,10.116.63.54,10.116.63.69,5000,38510,17.17372989654541,5,609,5,0,609,0,0.2911423453216052,35.461137660171524,121.8,66,232,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38526,10.116.63.54,10.116.63.69,5000,38526,18.690402269363403,5,609,5,0,609,0,0.267516981600541,32.5835683589459,121.8,66,232,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38922,10.116.63.54,10.116.63.69,5000,38922,2.4675326347351074,5,750,5,0,750,0,2.026315652168368,303.9473478252552,150.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38936,10.116.63.54,10.116.63.69,5000,38936,4.819147109985352,5,750,5,0,750,0,1.037527986983406,155.6291980475109,150.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_38940,10.116.63.54,10.116.63.69,5000,38940,4.780200958251953,5,750,5,0,750,0,1.045981130012665,156.8971695018997,150.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_39526,10.116.63.54,10.116.63.69,5000,39526,0.901170015335083,5,609,5,0,609,0,5.548342615617148,675.7881305821686,121.8,66,232,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_39534,10.116.63.54,10.116.63.69,5000,39534,2.2611773014068604,5,609,5,0,609,0,2.2112374809746664,269.3287251827144,121.8,66,232,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_39540,10.116.63.54,10.116.63.69,5000,39540,9.02143907546997,5,609,5,0,609,0,0.5542353008396862,67.50585964227378,121.8,66,232,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_39546,10.116.63.54,10.116.63.69,5000,39546,11.822672605514526,5,609,5,0,609,0,0.422916219270744,51.51119550717662,121.8,66,232,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_41172,10.116.63.54,10.116.63.69,5000,41172,2.1526966094970703,6,816,6,0,816,0,2.787201862784448,379.0594533386849,136.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_41174,10.116.63.54,10.116.63.69,5000,41174,2.7641491889953613,6,816,6,0,816,0,2.1706498418707705,295.20837849442484,136.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_41180,10.116.63.54,10.116.63.69,5000,41180,30.391010284423828,6,633,6,0,633,0,0.1974268029870383,20.828527715132548,105.5,66,231,0,0,0,BENIGN
