flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label
127.0.0.1_127.0.0.1_62506_5001,127.0.0.1,127.0.0.1,62506,5001,0.015460968017578125,4,188,4,0,188,0,258.71601283000246,12159.652603010116,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62507_5002,127.0.0.1,127.0.0.1,62507,5002,0.0005726814270019531,4,188,4,0,188,0,6984.686094920899,328280.24646128225,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62508_5003,127.0.0.1,127.0.0.1,62508,5003,0.01042318344116211,4,188,4,0,188,0,383.75991582414565,18036.716043734847,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62509_5004,127.0.0.1,127.0.0.1,62509,5004,0.003793954849243164,4,188,4,0,188,0,1054.3088041224157,49552.51379375353,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62511_5005,127.0.0.1,127.0.0.1,62511,5005,0.12045478820800781,4,188,4,0,188,0,33.207480246385764,1560.7515715801308,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62512_5006,127.0.0.1,127.0.0.1,62512,5006,0.004996776580810547,4,188,4,0,188,0,800.5160797786049,37624.25574959443,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62513_5007,127.0.0.1,127.0.0.1,62513,5007,0.014055967330932617,4,188,4,0,188,0,284.57664320244254,13375.1022305148,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62514_5008,127.0.0.1,127.0.0.1,62514,5008,0.03894758224487305,4,188,4,0,188,0,102.70213886066186,4827.000526451107,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62515_5009,127.0.0.1,127.0.0.1,62515,5009,0.0007135868072509766,4,188,4,0,188,0,5605.484797861677,263457.78549949883,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62516_5010,127.0.0.1,127.0.0.1,62516,5010,0.025280475616455078,4,188,4,0,188,0,158.2248712677066,7436.56894958221,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62517_5011,127.0.0.1,127.0.0.1,62517,5011,0.01772475242614746,4,188,4,0,188,0,225.673109774962,10606.636159423215,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62518_5012,127.0.0.1,127.0.0.1,62518,5012,0.010601043701171875,4,188,4,0,188,0,377.32133861101113,17734.102914717525,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62519_5013,127.0.0.1,127.0.0.1,62519,5013,0.0025053024291992188,4,188,4,0,188,0,1596.6136277122193,75040.84050247431,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62520_5014,127.0.0.1,127.0.0.1,62520,5014,0.010679006576538086,4,188,4,0,188,0,374.56667634122925,17604.633788037776,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62521_5015,127.0.0.1,127.0.0.1,62521,5015,0.0028557777404785156,4,188,4,0,188,0,1400.6692269160128,65831.4536650526,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62522_5016,127.0.0.1,127.0.0.1,62522,5016,0.01066899299621582,4,188,4,0,188,0,374.91823280967174,17621.15694205457,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62523_5017,127.0.0.1,127.0.0.1,62523,5017,0.003515481948852539,4,188,4,0,188,0,1137.824075957952,53477.73157002374,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62524_5018,127.0.0.1,127.0.0.1,62524,5018,0.011915206909179688,4,188,4,0,188,0,335.7054586201377,15778.15655514647,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62525_5019,127.0.0.1,127.0.0.1,62525,5019,0.0038983821868896484,4,188,4,0,188,0,1026.0666625894441,48225.133141703875,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62526_5020,127.0.0.1,127.0.0.1,62526,5020,0.012253999710083008,4,188,4,0,188,0,326.4240325310816,15341.929528960834,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62527_5021,127.0.0.1,127.0.0.1,62527,5021,0.005877256393432617,4,188,4,0,188,0,680.5896718185875,31987.714575473612,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62528_5022,127.0.0.1,127.0.0.1,62528,5022,0.014654874801635742,4,188,4,0,188,0,272.94671937787757,12828.495810760245,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62529_5023,127.0.0.1,127.0.0.1,62529,5023,0.008728504180908203,4,188,4,0,188,0,458.26866976236,21538.62747883092,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62530_5024,127.0.0.1,127.0.0.1,62530,5024,0.0017628669738769531,4,188,4,0,188,0,2269.0311063024074,106644.46199621314,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62531_5025,127.0.0.1,127.0.0.1,62531,5025,0.009232759475708008,4,188,4,0,188,0,433.23992253066496,20362.276358941253,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62532_5026,127.0.0.1,127.0.0.1,62532,5026,0.0003509521484375,4,188,4,0,188,0,11397.565217391304,535685.5652173914,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62533_5027,127.0.0.1,127.0.0.1,62533,5027,0.006029605865478516,4,188,4,0,188,0,663.3932779754844,31179.484064847766,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62534_5028,127.0.0.1,127.0.0.1,62534,5028,0.015268087387084961,4,188,4,0,188,0,261.98435328471714,12313.264604381706,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62535_5029,127.0.0.1,127.0.0.1,62535,5029,0.0046939849853515625,4,188,4,0,188,0,852.1544087769199,40051.25721251524,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62536_5030,127.0.0.1,127.0.0.1,62536,5030,0.014597177505493164,4,188,4,0,188,0,274.0255777868518,12879.202155982033,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62537_5031,127.0.0.1,127.0.0.1,62537,5031,0.0042285919189453125,4,188,4,0,188,0,945.9413622011728,44459.24402345512,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62538_5032,127.0.0.1,127.0.0.1,62538,5032,0.01167750358581543,4,188,4,0,188,0,342.5389656791686,16099.331386920925,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62539_5033,127.0.0.1,127.0.0.1,62539,5033,0.0015377998352050781,4,188,4,0,188,0,2601.1187596899226,122252.58170542636,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62540_5034,127.0.0.1,127.0.0.1,62540,5034,0.00905752182006836,4,188,4,0,188,0,441.62190050013163,20756.229323506184,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62541_5035,127.0.0.1,127.0.0.1,62541,5035,0.012297630310058594,4,188,4,0,188,0,325.2659170221016,15287.498100038774,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62542_5036,127.0.0.1,127.0.0.1,62542,5036,0.004633665084838867,4,188,4,0,188,0,863.2475430923591,40572.63452534088,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62543_5037,127.0.0.1,127.0.0.1,62543,5037,0.012995243072509766,4,188,4,0,188,0,307.8049389058085,14466.832128573002,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62544_5038,127.0.0.1,127.0.0.1,62544,5038,0.012273311614990234,4,188,4,0,188,0,325.91040832977194,15317.789191499282,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62545_5039,127.0.0.1,127.0.0.1,62545,5039,0.004166126251220703,4,188,4,0,188,0,960.1245278699782,45125.85280988898,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62546_5040,127.0.0.1,127.0.0.1,62546,5040,120.01404786109924,4,188,4,0,188,0,0.0333294316064523,1.566483285503258,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62547_5041,127.0.0.1,127.0.0.1,62547,5041,0.0027341842651367188,4,188,4,0,188,0,1462.9591907917684,68759.08196721312,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62548_5042,127.0.0.1,127.0.0.1,62548,5042,0.010148286819458008,4,188,4,0,188,0,394.1551979325737,18525.294302830964,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62549_5043,127.0.0.1,127.0.0.1,62549,5043,0.004285335540771484,4,188,4,0,188,0,933.4158228552353,43870.54367419606,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62550_5044,127.0.0.1,127.0.0.1,62550,5044,0.012143850326538086,4,188,4,0,188,0,329.3848237950329,15481.086718366545,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62551_5045,127.0.0.1,127.0.0.1,62551,5045,0.019391536712646484,4,188,4,0,188,0,206.27555511840066,9694.951090564831,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62552_5046,127.0.0.1,127.0.0.1,62552,5046,0.012627840042114258,4,188,4,0,188,0,316.7604266968753,14887.74005475314,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62553_5047,127.0.0.1,127.0.0.1,62553,5047,0.006529569625854492,4,188,4,0,188,0,612.5978018768029,28792.096688209735,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62554_5048,127.0.0.1,127.0.0.1,62554,5048,0.014453411102294922,4,188,4,0,188,0,276.7512784137772,13007.310085447527,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62555_5049,127.0.0.1,127.0.0.1,62555,5049,0.02230381965637207,4,188,4,0,188,0,179.34147879720788,8429.04950346877,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62556_5050,127.0.0.1,127.0.0.1,62556,5050,0.007754325866699219,4,188,4,0,188,0,515.8411019554791,24244.531791907513,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62557_5001,127.0.0.1,127.0.0.1,62557,5001,0.0020904541015625,4,188,4,0,188,0,1913.4598540145985,89932.61313868614,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_62558_5002,127.0.0.1,127.0.0.1,62558,5002,0.027590513229370117,4,188,4,0,188,0,144.9773683710239,6813.936313438124,47.0,44,56,0,0,0,PORT_SCAN
