flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_requests,total_bytes,request_rate,avg_uri_length,max_uri_length,avg_query_length,avg_special_char_count,total_angle_bracket_count,total_script_keyword_count,total_event_handler_count,total_encoded_char_count,avg_user_agent_length,avg_frame_length,max_frame_length,label
XSS_0,127.0.0.1,127.0.0.1,57707,5052,23.532085180282593,20,6090,0.8499034338341548,42.05,63,35.1,5.95,50,16,9,98,85.5,304.5,734,XSS_SIM
XSS_1,127.0.0.1,127.0.0.1,58035,5052,0.5237634181976318,20,4545,38.18517923382994,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_2,127.0.0.1,127.0.0.1,58055,5052,0.6596255302429199,20,4545,30.320233349116446,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_3,127.0.0.1,127.0.0.1,58075,5052,0.5545315742492676,20,4545,36.06647651592477,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_4,127.0.0.1,127.0.0.1,58108,5052,0.5935201644897461,20,4545,33.6972544432322,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_5,127.0.0.1,127.0.0.1,58129,5052,0.5285727977752686,20,4545,37.83773982349983,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_6,127.0.0.1,127.0.0.1,58149,5052,0.5514698028564453,20,4545,36.266718316045775,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_7,127.0.0.1,127.0.0.1,58170,5052,0.5536494255065918,20,4545,36.12394247803997,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_8,127.0.0.1,127.0.0.1,58190,5052,0.5402965545654297,20,4545,37.01670838172633,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_9,127.0.0.1,127.0.0.1,58210,5052,0.5263605117797852,20,4545,37.99677132384782,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_10,127.0.0.1,127.0.0.1,58230,5052,0.5142149925231934,20,4545,38.89423741198661,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_11,127.0.0.1,127.0.0.1,58251,5052,0.5840847492218018,20,4545,34.24160625088527,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_12,127.0.0.1,127.0.0.1,58271,5052,0.6159589290618896,20,4545,32.46969733917188,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_13,127.0.0.1,127.0.0.1,58291,5052,0.4540822505950928,20,4545,44.04488388125545,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_14,127.0.0.1,127.0.0.1,58311,5052,0.4351832866668701,20,4545,45.95764730117006,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_15,127.0.0.1,127.0.0.1,58331,5052,0.5355093479156494,20,4545,37.34762068644653,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_16,127.0.0.1,127.0.0.1,58351,5052,0.5126042366027832,20,4545,39.01645474596027,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_17,127.0.0.1,127.0.0.1,58371,5052,0.541813850402832,20,4545,36.91304676897839,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_18,127.0.0.1,127.0.0.1,58391,5052,0.49222469329833984,20,4545,40.63185019423213,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
