timestamp,src_ip,dst_ip,src_port,dst_port,http_method,uri_length,decoded_uri_length,query_length,special_char_count,angle_bracket_count,script_keyword_count,event_handler_count,encoded_char_count,http_version,user_agent_length,frame_length,label
1786184449.6603775,127.0.0.1,127.0.0.1,57707,5052,GET,1,1,0,0,0,0,0,0,HTTP/1.1,111,734,XSS_SIM
1786184449.8603165,127.0.0.1,127.0.0.1,52931,5052,GET,1,1,0,0,0,0,0,0,HTTP/1.1,111,734,XSS_SIM
1786184450.0539396,127.0.0.1,127.0.0.1,65106,5052,GET,1,1,0,0,0,0,0,0,HTTP/1.1,111,734,XSS_SIM
1786184472.7173948,127.0.0.1,127.0.0.1,58018,5052,GET,50,38,42,7,2,0,1,6,HTTP/1.1,81,252,XSS_SIM
1786184472.7517774,127.0.0.1,127.0.0.1,58019,5052,GET,39,31,31,6,2,0,1,4,HTTP/1.1,81,217,XSS_SIM
1786184472.7790442,127.0.0.1,127.0.0.1,58020,5052,GET,63,47,55,8,4,2,0,8,HTTP/1.1,81,241,XSS_SIM
1786184472.8053775,127.0.0.1,127.0.0.1,58021,5052,GET,45,35,37,7,4,2,0,5,HTTP/1.1,81,223,XSS_SIM
1786184472.8349497,127.0.0.1,127.0.0.1,58022,5052,GET,50,38,42,7,2,0,1,6,HTTP/1.1,81,228,XSS_SIM
1786184472.8621147,127.0.0.1,127.0.0.1,58023,5052,GET,39,31,31,6,2,0,1,4,HTTP/1.1,81,217,XSS_SIM
1786184472.8903449,127.0.0.1,127.0.0.1,58024,5052,GET,63,47,55,8,4,2,0,8,HTTP/1.1,81,241,XSS_SIM
1786184472.9267201,127.0.0.1,127.0.0.1,58025,5052,GET,45,35,37,7,4,2,0,5,HTTP/1.1,81,223,XSS_SIM
1786184472.9672909,127.0.0.1,127.0.0.1,58026,5052,GET,50,38,42,7,2,0,1,6,HTTP/1.1,81,228,XSS_SIM
1786184473.0013244,127.0.0.1,127.0.0.1,58027,5052,GET,39,31,31,6,2,0,1,4,HTTP/1.1,81,217,XSS_SIM
1786184473.02621,127.0.0.1,127.0.0.1,58028,5052,GET,63,47,55,8,4,2,0,8,HTTP/1.1,81,241,XSS_SIM
1786184473.0551248,127.0.0.1,127.0.0.1,58029,5052,GET,45,35,37,7,4,2,0,5,HTTP/1.1,81,223,XSS_SIM
1786184473.083155,127.0.0.1,127.0.0.1,58030,5052,GET,50,38,42,7,2,0,1,6,HTTP/1.1,81,228,XSS_SIM
1786184473.1100743,127.0.0.1,127.0.0.1,58031,5052,GET,39,31,31,6,2,0,1,4,HTTP/1.1,81,217,XSS_SIM
1786184473.1386576,127.0.0.1,127.0.0.1,58032,5052,GET,63,47,55,8,4,2,0,8,HTTP/1.1,81,241,XSS_SIM
1786184473.1645632,127.0.0.1,127.0.0.1,58033,5052,GET,45,35,37,7,4,2,0,5,HTTP/1.1,81,223,XSS_SIM
1786184473.1924627,127.0.0.1,127.0.0.1,58034,5052,GET,50,38,42,7,2,0,1,6,HTTP/1.1,81,228,XSS_SIM
1786184473.221161,127.0.0.1,127.0.0.1,58035,5052,GET,39,31,31,6,2,0,1,4,HTTP/1.1,81,217,XSS_SIM
1786184473.2529075,127.0.0.1,127.0.0.1,58036,5052,GET,63,47,55,8,4,2,0,8,HTTP/1.1,81,241,XSS_SIM
1786184473.2811296,127.0.0.1,127.0.0.1,58037,5052,GET,45,35,37,7,4,2,0,5,HTTP/1.1,81,223,XSS_SIM
